0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/checkbox3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/bootstrap-switch.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/stylesheets/flat-blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/bootstrap-switch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/jquery.matchHeight-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/mode-html.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/select2.full.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:28 +0800] "GET /questionclassifier/resources/javascripts/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:29 +0800] "GET /questionclassifier/resources/javascripts/theme-github.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:29 +0800] "GET /questionclassifier/resources/javascripts/app.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:30 +0800] "POST /questionclassifier/login HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:32 +0800] "GET /questionclassifier/test HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:35 +0800] "POST /questionclassifier/process HTTP/1.1" 200 870
